epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.95,2.05772,2.8586,1.83239,0.34235,0.30111,0.24619,0.0976,2.17147,3.12453,1.86102,0.000416485,0.000416485,0.000416485
2,573.16,2.0179,2.50445,1.78728,0.34847,0.30721,0.24997,0.09909,2.12585,2.94694,1.88071,0.00079191,0.00079191,0.00079191
3,844.371,1.9798,2.43004,1.75797,0.42235,0.36945,0.3327,0.1471,2.02633,2.65109,1.75505,0.00112609,0.00112609,0.00112609
4,1110.84,1.91794,2.31839,1.70638,0.44756,0.40785,0.37741,0.17658,1.95292,2.43582,1.70731,0.00106437,0.00106437,0.00106437
5,1381.43,1.86778,2.2214,1.67282,0.44633,0.42403,0.38459,0.17778,1.88921,2.30337,1.66216,0.0010025,0.0010025,0.0010025
6,1643.19,1.82412,2.13688,1.63881,0.50536,0.455,0.44553,0.21336,1.85617,2.22021,1.63024,0.000940625,0.000940625,0.000940625
7,1903.54,1.79335,2.07135,1.61362,0.50977,0.46868,0.45195,0.22039,1.83865,2.25553,1.62431,0.00087875,0.00087875,0.00087875
8,2167.15,1.76362,2.02124,1.59248,0.52616,0.47724,0.47831,0.23163,1.80483,2.13946,1.60484,0.000816875,0.000816875,0.000816875
9,2439.92,1.74522,1.97403,1.58,0.553,0.48605,0.49094,0.24657,1.8005,2.18074,1.60704,0.000755,0.000755,0.000755
10,2707.68,1.72783,1.9414,1.55919,0.54516,0.49247,0.50271,0.25554,1.76025,2.07637,1.56491,0.000693125,0.000693125,0.000693125
