epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.171,2.27585,3.99044,2.02963,0.11166,0.12191,0.05435,0.01925,2.61544,4.49669,2.26676,0.000414847,0.000414847,0.000414847
2,109.064,2.32774,3.19873,2.08913,0.08905,0.15941,0.03847,0.01275,2.59678,9.60811,2.48761,0.000790354,0.000790354,0.000790354
3,159.412,2.33641,3.12594,2.09701,0.11162,0.2222,0.0771,0.0272,2.48879,5.03489,2.20282,0.00112461,0.00112461,0.00112461
4,210.195,2.27989,3.03833,2.067,0.18928,0.19971,0.09871,0.03421,2.41345,4.91872,2.20363,0.00106437,0.00106437,0.00106437
5,262.381,2.2126,2.92399,2.01976,0.21045,0.19699,0.12743,0.04501,2.29864,3.28159,2.14972,0.0010025,0.0010025,0.0010025
6,313.35,2.14327,2.78967,1.95672,0.22829,0.26506,0.14866,0.05605,2.2865,4.13391,2.05455,0.000940625,0.000940625,0.000940625
7,364.945,2.10042,2.6992,1.91801,0.24402,0.27173,0.17551,0.06656,2.25826,3.10266,2.05128,0.00087875,0.00087875,0.00087875
8,417.452,2.06506,2.60396,1.90016,0.30177,0.2828,0.21028,0.084,2.19801,3.04037,1.9726,0.000816875,0.000816875,0.000816875
9,467.683,2.01729,2.57427,1.85576,0.3451,0.26324,0.20441,0.07923,2.18063,3.05241,1.95654,0.000755,0.000755,0.000755
10,518.893,1.96968,2.48278,1.81647,0.30825,0.29867,0.23319,0.09495,2.12107,3.01207,1.90944,0.000693125,0.000693125,0.000693125
11,570.21,2.02686,2.52854,1.91314,0.31669,0.30587,0.2371,0.09696,2.15208,2.81543,1.93545,0.00063125,0.00063125,0.00063125
12,620.322,1.99759,2.45971,1.882,0.34191,0.30052,0.24624,0.10055,2.12617,2.97401,1.92768,0.000569375,0.000569375,0.000569375
13,671.701,1.95423,2.35364,1.85934,0.34277,0.32037,0.26959,0.11255,2.08722,2.64798,1.89126,0.0005075,0.0005075,0.0005075
14,721.418,1.90639,2.28014,1.82159,0.37274,0.34286,0.28912,0.12257,2.06167,2.70476,1.89098,0.000445625,0.000445625,0.000445625
15,771.19,1.87821,2.23357,1.80979,0.328,0.38348,0.3085,0.1324,2.04042,2.69171,1.88463,0.00038375,0.00038375,0.00038375
16,820.598,1.85315,2.16278,1.78554,0.38924,0.35627,0.31812,0.13829,2.0365,2.56799,1.87517,0.000321875,0.000321875,0.000321875
17,871.037,1.80246,2.10095,1.7447,0.41818,0.38183,0.35054,0.15335,2.01345,2.54795,1.8377,0.00026,0.00026,0.00026
18,920.792,1.78098,2.02161,1.70769,0.44371,0.38367,0.36448,0.16332,2.0091,2.42869,1.81987,0.000198125,0.000198125,0.000198125
19,970.51,1.74892,1.98122,1.69525,0.46563,0.39518,0.38509,0.17506,2.00292,2.40243,1.82948,0.00013625,0.00013625,0.00013625
20,1020.04,1.73288,1.91571,1.6868,0.47823,0.40793,0.391,0.17828,1.979,2.38327,1.81132,7.4375e-05,7.4375e-05,7.4375e-05
