epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.281,2.05772,2.8586,1.83239,0.34235,0.30111,0.24619,0.0976,2.17147,3.12453,1.86102,0.000416485,0.000416485,0.000416485
2,568.185,2.0179,2.50445,1.78728,0.34847,0.30721,0.24997,0.09909,2.12585,2.94694,1.88071,0.00079191,0.00079191,0.00079191
3,835.573,1.9798,2.43004,1.75797,0.42235,0.36945,0.3327,0.1471,2.02633,2.65109,1.75505,0.00112609,0.00112609,0.00112609
4,1099.14,1.91794,2.31839,1.70638,0.44756,0.40785,0.37741,0.17658,1.95292,2.43582,1.70731,0.00106437,0.00106437,0.00106437
5,1367.84,1.86778,2.2214,1.67282,0.44633,0.42403,0.38459,0.17778,1.88921,2.30337,1.66216,0.0010025,0.0010025,0.0010025
6,1635.3,1.82412,2.13688,1.63881,0.50536,0.455,0.44553,0.21336,1.85617,2.22021,1.63024,0.000940625,0.000940625,0.000940625
7,1907.74,1.79335,2.07135,1.61362,0.50977,0.46868,0.45195,0.22039,1.83865,2.25553,1.62431,0.00087875,0.00087875,0.00087875
8,2184.71,1.76362,2.02124,1.59248,0.52616,0.47724,0.47831,0.23163,1.80483,2.13946,1.60484,0.000816875,0.000816875,0.000816875
9,2460.75,1.74522,1.97403,1.58,0.553,0.48605,0.49094,0.24657,1.8005,2.18074,1.60704,0.000755,0.000755,0.000755
10,2732.43,1.72783,1.9414,1.55919,0.54516,0.49247,0.50271,0.25554,1.76025,2.07637,1.56491,0.000693125,0.000693125,0.000693125
11,3009.35,1.73323,1.88341,1.60266,0.56786,0.49745,0.51494,0.26413,1.7577,2.01182,1.55616,0.00063125,0.00063125,0.00063125
12,3279.64,1.70086,1.83127,1.58474,0.58098,0.51272,0.53058,0.27323,1.75334,1.98103,1.55588,0.000569375,0.000569375,0.000569375
13,3549.84,1.68222,1.78067,1.57288,0.60136,0.50737,0.53813,0.28297,1.73113,1.92221,1.54414,0.0005075,0.0005075,0.0005075
14,3816.71,1.65431,1.73666,1.5475,0.59539,0.52407,0.55381,0.29194,1.72123,1.89633,1.53821,0.000445625,0.000445625,0.000445625
15,4092.37,1.63743,1.69545,1.53644,0.59201,0.53053,0.55522,0.29143,1.70833,1.90674,1.52227,0.00038375,0.00038375,0.00038375
16,4359.38,1.61698,1.64509,1.52249,0.61522,0.5382,0.56878,0.30249,1.69599,1.87787,1.50733,0.000321875,0.000321875,0.000321875
17,4632.42,1.59354,1.61505,1.5046,0.62085,0.54268,0.57815,0.30881,1.68458,1.82928,1.50425,0.00026,0.00026,0.00026
18,4907.86,1.57756,1.57659,1.49503,0.6189,0.546,0.58217,0.31479,1.68402,1.81847,1.4978,0.000198125,0.000198125,0.000198125
19,5182.55,1.55801,1.53222,1.47902,0.62192,0.55492,0.588,0.31795,1.69062,1.81424,1.49952,0.00013625,0.00013625,0.00013625
20,5445.57,1.54309,1.49866,1.46963,0.62646,0.55701,0.59329,0.3205,1.69821,1.81055,1.49966,7.4375e-05,7.4375e-05,7.4375e-05
