epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.719,2.07021,11.105,1.8199,0.31856,0.33354,0.26308,0.10677,2.10086,11.4799,1.79703,0.000416518,0.000416518,0.000416518
2,628.766,2.03472,9.76124,1.78022,0.35434,0.33443,0.29294,0.12221,2.06437,10.7585,1.8199,0.000791942,0.000791942,0.000791942
3,940.676,1.99161,9.43876,1.74413,0.41809,0.38031,0.34974,0.15325,1.97277,10.315,1.72094,0.00112612,0.00112612,0.00112612
4,1239.06,1.93284,9.05031,1.70139,0.48156,0.41875,0.38897,0.17325,1.8986,9.34312,1.70054,0.00106437,0.00106437,0.00106437
5,1537.27,1.88955,8.69797,1.6685,0.48796,0.43903,0.42294,0.19847,1.85837,8.89005,1.63844,0.0010025,0.0010025,0.0010025
6,1841.94,1.84806,8.37362,1.63516,0.50753,0.46256,0.44682,0.20937,1.83248,8.99691,1.61467,0.000940625,0.000940625,0.000940625
7,2135.32,1.81568,8.13458,1.61189,0.5421,0.47887,0.47599,0.22688,1.80273,8.80504,1.60563,0.00087875,0.00087875,0.00087875
8,2431.62,1.79489,7.94631,1.59837,0.5312,0.47465,0.48496,0.23331,1.79994,8.4755,1.59318,0.000816875,0.000816875,0.000816875
9,2733.48,1.76864,7.77369,1.5782,0.57168,0.48517,0.51092,0.25296,1.75036,8.44878,1.54639,0.000755,0.000755,0.000755
10,3034.56,1.75553,7.65849,1.56422,0.56106,0.51086,0.51302,0.25829,1.7366,8.09815,1.52856,0.000693125,0.000693125,0.000693125
11,3336.5,1.75944,7.41617,1.6085,0.56852,0.51063,0.52286,0.26339,1.72744,7.82052,1.53972,0.00063125,0.00063125,0.00063125
12,3633.62,1.72609,7.20005,1.58932,0.58898,0.5146,0.54072,0.27883,1.71841,7.63129,1.52234,0.000569375,0.000569375,0.000569375
13,3929.47,1.7114,6.99535,1.58133,0.60548,0.51662,0.54983,0.28332,1.70831,7.55817,1.52819,0.0005075,0.0005075,0.0005075
14,4221.94,1.69099,6.84169,1.56297,0.61831,0.53264,0.56907,0.29194,1.71609,7.34562,1.52392,0.000445625,0.000445625,0.000445625
15,4519.9,1.66794,6.64258,1.54605,0.61701,0.53436,0.56832,0.2973,1.68146,7.47553,1.50256,0.00038375,0.00038375,0.00038375
16,4814.68,1.65739,6.43483,1.53946,0.62258,0.55009,0.58095,0.3025,1.68108,7.32549,1.50293,0.000321875,0.000321875,0.000321875
17,5121.62,1.63038,6.29444,1.51155,0.62475,0.54912,0.58561,0.30611,1.67649,7.28741,1.48937,0.00026,0.00026,0.00026
18,5416.52,1.61237,6.17282,1.50756,0.6242,0.5563,0.58646,0.31018,1.66881,7.06132,1.49243,0.000198125,0.000198125,0.000198125
19,5711.19,1.60144,5.97822,1.49678,0.64185,0.55557,0.59606,0.31435,1.67535,7.00889,1.49386,0.00013625,0.00013625,0.00013625
20,6014.51,1.58208,5.84655,1.48326,0.64697,0.55626,0.6,0.31667,1.67086,7.00956,1.48867,7.4375e-05,7.4375e-05,7.4375e-05
