epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,723.546,1.90498,2.70157,1.721,0.43088,0.38158,0.34287,0.16018,1.97771,2.50505,1.75367,0.00999294,0.00333098,0.00999294,0.00333098,0.00999294,0.00333098,0.00999294,0.00333098
2,1304.27,1.91313,2.25282,1.7165,0.33311,0.28465,0.21713,0.09371,2.15284,3.45062,1.89944,0.0195971,0.00653236,0.0195971,0.00653236,0.0195971,0.00653236,0.0195971,0.00653236
3,1831.23,2.00632,2.43293,1.8218,0.30599,0.3063,0.23277,0.09367,2.15411,2.94347,2.01465,0.0288052,0.00960174,0.0288052,0.00960174,0.0288052,0.00960174,0.0288052,0.00960174
4,2331.7,2.00072,2.41136,1.84322,0.38261,0.38087,0.32613,0.14505,2.00645,2.64254,1.85951,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2831.01,1.89956,2.24708,1.77146,0.45279,0.42537,0.39891,0.18363,1.94295,2.30188,1.79566,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3337.36,1.84559,2.14281,1.73263,0.48554,0.47173,0.44342,0.20838,1.85244,2.21473,1.74074,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3835.32,1.80562,2.06231,1.69787,0.53559,0.479,0.46947,0.22629,1.81197,2.11566,1.68634,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4337.97,1.76509,2.00136,1.67178,0.56001,0.47607,0.49443,0.24514,1.79103,2.02538,1.66403,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4836.93,1.74086,1.92413,1.64265,0.53184,0.50613,0.50364,0.25608,1.75849,1.97505,1.65976,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5341.09,1.71436,1.8819,1.62509,0.56993,0.51061,0.52328,0.26585,1.75525,1.93731,1.65634,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5846.31,1.70095,1.84153,1.61433,0.56028,0.52793,0.52954,0.27275,1.73192,1.89281,1.64947,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,6348.21,1.68318,1.80663,1.5988,0.58163,0.53092,0.546,0.2853,1.68837,1.83811,1.61099,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6852.67,1.66721,1.77702,1.57684,0.60347,0.54265,0.56408,0.29803,1.67765,1.77954,1.58577,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,7363.88,1.65461,1.75124,1.58085,0.61154,0.54545,0.57087,0.30109,1.69113,1.76747,1.60488,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,7874.63,1.643,1.72824,1.56272,0.61714,0.54369,0.57914,0.30715,1.66545,1.74003,1.58116,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,8388.56,1.62885,1.69854,1.55889,0.61305,0.56375,0.58988,0.31546,1.67516,1.72692,1.58992,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,8904.69,1.61784,1.66359,1.54523,0.62471,0.56562,0.59706,0.32472,1.64739,1.69713,1.57141,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,9418.47,1.60748,1.64416,1.53696,0.63596,0.56913,0.607,0.33137,1.62488,1.6631,1.55403,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,9934.18,1.59664,1.61887,1.52295,0.64373,0.57121,0.61008,0.33249,1.62959,1.65941,1.54334,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,10452.6,1.58247,1.59706,1.51026,0.64955,0.57946,0.62527,0.33952,1.62274,1.61984,1.54659,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,10967.3,1.57507,1.58289,1.50915,0.63998,0.5909,0.62493,0.3409,1.60846,1.61587,1.53781,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,11478.6,1.55844,1.54407,1.4962,0.64263,0.60114,0.62851,0.34727,1.60613,1.58039,1.53069,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,11987.7,1.54489,1.52807,1.48324,0.64411,0.5965,0.63358,0.34989,1.60134,1.58108,1.53051,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,12499.3,1.53895,1.51348,1.48205,0.64882,0.60575,0.6418,0.35751,1.59754,1.54501,1.52127,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,13008.9,1.53084,1.49368,1.47288,0.64402,0.61027,0.64218,0.35762,1.61064,1.54184,1.52898,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,13516.4,1.51647,1.46341,1.46241,0.66223,0.60349,0.64884,0.36071,1.5954,1.52634,1.52488,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,14031.8,1.50759,1.44924,1.46165,0.65778,0.60851,0.64756,0.36102,1.59336,1.51181,1.52162,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,14546.3,1.49784,1.44303,1.45189,0.65798,0.60799,0.64634,0.36125,1.58718,1.50508,1.51832,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,15057.5,1.48601,1.40964,1.4385,0.6629,0.6089,0.65248,0.36617,1.59255,1.50487,1.52142,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,15568.6,1.47874,1.39088,1.43875,0.67726,0.59811,0.65403,0.36821,1.59326,1.4976,1.5264,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,16080.8,1.46725,1.36168,1.42719,0.68075,0.60212,0.65822,0.36896,1.60279,1.48425,1.53312,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,16592.1,1.46008,1.36017,1.42358,0.66247,0.61818,0.65937,0.37065,1.60174,1.48165,1.52957,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,17106.2,1.44812,1.32398,1.41275,0.67094,0.61412,0.66268,0.37205,1.60192,1.4813,1.52751,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,17618.5,1.43677,1.32288,1.40575,0.66783,0.61828,0.66338,0.37261,1.60228,1.4808,1.53064,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,18131.5,1.42336,1.29164,1.39222,0.66657,0.62281,0.66321,0.37228,1.60318,1.47078,1.52961,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,18640,1.40916,1.27006,1.38875,0.67258,0.62166,0.6646,0.37242,1.60898,1.46555,1.53321,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,19148.5,1.4005,1.25647,1.38282,0.67027,0.62711,0.66545,0.37264,1.60966,1.4596,1.53652,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,19660.7,1.38623,1.22873,1.37067,0.67424,0.62822,0.66743,0.37369,1.61066,1.45056,1.53739,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,20181.9,1.37961,1.20858,1.36355,0.68489,0.62081,0.66787,0.37385,1.61325,1.44382,1.53975,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,20692.4,1.3608,1.18704,1.35754,0.68209,0.62351,0.66761,0.37308,1.61514,1.44488,1.54077,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,21203.9,1.34117,1.07591,1.37289,0.68109,0.624,0.66768,0.37335,1.61775,1.44083,1.54314,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,21712.6,1.32092,1.04116,1.35823,0.68214,0.62631,0.66889,0.37391,1.62072,1.43832,1.54736,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,22228.8,1.29248,1.01442,1.34134,0.68862,0.62115,0.66975,0.37427,1.62347,1.4369,1.55155,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,22768.2,1.27398,0.98152,1.32537,0.685,0.6241,0.6689,0.37427,1.62588,1.44005,1.55495,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,23341,1.26176,0.96705,1.31816,0.68699,0.6231,0.66816,0.374,1.62939,1.44205,1.55782,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,23995.1,1.23498,0.93266,1.30125,0.68815,0.62474,0.66804,0.37403,1.63341,1.4413,1.56212,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
